ds,yhat,yhat_lower,yhat_upper,y
2025-05-24,825.3207715062667,467.6861461058148,1179.6489599421034,1114.74
2025-05-25,971.1043909659726,589.9111069162265,1349.3375075233882,490.8
2025-05-26,955.3504426583629,601.3561101644964,1355.5093930088344,961.84
2025-05-27,913.3191409194737,524.3637254537153,1286.4561894897665,1178.36
2025-05-28,837.0609567544716,444.6032033003922,1241.8344826078903,658.4
2025-05-29,867.1100860388209,487.52050671871865,1249.7161578376122,639.0
2025-05-30,974.539121487106,599.9366540477167,1325.5457546935106,805.9
2025-05-31,893.8940653409928,489.70237462080627,1245.0953042632132,863.3199999999999
2025-06-01,1062.7211002956478,680.4687185915337,1414.449709088968,1202.6
2025-06-02,987.248804128814,631.27409376205,1353.1330612820154,877.6
2025-06-03,997.4597165254352,612.9151683405545,1366.5950202559325,1017.8
2025-06-04,1270.972259316961,896.8721261963002,1660.925638055644,1390.32
2025-06-05,798.5929762492963,468.92840338913203,1171.711508873138,787.76
2025-06-06,1031.888616488003,615.8400700252555,1422.6839644400247,1077.72
2025-06-07,1043.8943368029334,683.8709275897289,1394.8565756402124,1087.99
2025-06-08,1183.8329339026204,794.842651328273,1568.2347631357256,1021.2
2025-06-09,1207.4080258116103,834.9712117869394,1592.3599966304798,893.6
2025-06-10,1081.5968253944347,701.5912357930172,1473.7132238755285,1182.44
2025-06-11,834.2543378998936,480.5468865558409,1178.707398878749,894.5600000000001
2025-06-12,772.0932570454353,416.2536494176257,1144.2582175630962,1019.88
2025-06-13,918.7440143803839,572.5612418592799,1304.0380370649798,765.6
2025-06-14,847.2589245496118,446.33466812977656,1228.1026320291644,724.84
2025-06-15,929.7338418474137,561.3427563256021,1305.8602878484712,1215.52
2025-06-16,818.753470104942,474.81070139193446,1183.3453215797208,819.6
2025-06-17,840.2116860931621,437.7190326345218,1200.292296099647,819.8
2025-06-18,803.249700768769,431.0332136157759,1183.1844654873396,902.0
2025-06-19,776.7026077076779,412.11511351306615,1153.7438812229218,685.96
2025-06-20,853.7654734520664,479.2804473963365,1197.8263049489926,800.48
2025-06-21,776.0234258169816,372.08326717146593,1129.893249971461,778.76
2025-06-22,954.2438383586149,576.1080053438538,1316.6608986094404,1077.92
2025-06-23,876.1445301368584,500.46753391003045,1259.274690550133,1067.16
2025-06-24,918.0211052968531,549.5923493706074,1310.9153531178408,1038.06
2025-06-25,934.1079857007019,571.3673527979872,1305.937693045774,1095.76
2025-06-26,921.8098701002749,551.1060634209634,1285.7202488619243,843.8
2025-06-27,914.9378489078596,570.4509923717272,1300.239805085107,752.4
2025-06-28,755.112054587594,379.8076535895135,1135.6797926921722,442.3
2025-06-29,1006.1143432524377,637.433824868411,1394.9203321109826,951.32
2025-06-30,978.5517763744177,583.7402214859322,1361.426093482221,711.0
2025-07-01,695.0174188470661,316.6785143434449,1072.9103211599947,651.0
2025-07-02,814.0018246011974,436.42830830580584,1178.489838901676,806.44
2025-07-03,1115.1759272519685,746.5846129432548,1456.5805006763228,1150.92
2025-07-04,1331.1648415209804,951.0714813274438,1700.9763295958144,1384.04
2025-07-05,966.4895380720002,588.0538058912875,1344.6196235397547,1000.12
2025-07-06,2116.415916886419,1726.913008960189,2496.823947320626,2269.48
2025-07-07,1219.4965230622813,856.9480499744006,1573.2037257151137,1279.28
2025-07-08,1407.332183095955,1053.8716211376943,1783.4944641151194,1465.32
2025-07-09,604.6839205863924,221.2864689564129,986.5366827284355,574.16
2025-07-10,847.6833594924959,469.1035002873434,1206.8354003458803,847.57
2025-07-11,668.3765864989047,285.2006472081183,1066.7208756596194,664.32
2025-07-12,614.7146164449186,231.86850137159874,1006.7458543588258,635.6
2025-07-13,756.4869977348839,382.86779135522414,1106.656591051488,771.96
2025-07-14,582.9518402283396,242.03959553517166,973.3439936849259,577.6
2025-07-15,745.0216812444396,366.2862002206842,1141.1703178907455,746.72
2025-07-16,462.83352512198314,98.81905017720088,834.6044507654408,449.4
2025-07-17,1070.3657838703589,696.3478559868162,1416.7134525084628,1101.5
2025-07-18,1094.3206253893825,729.764126033456,1463.5835844042347,1106.8
2025-07-19,873.4647418512817,488.31576876547035,1259.1524705469608,874.44
2025-07-20,959.0248866131245,569.2322883144302,1340.337991055032,950.52
2025-07-21,1212.0081020335815,853.8798374616398,1598.7511990194412,1219.76
2025-07-22,1219.666562837464,850.1398571188104,1608.6714103586007,1215.92
2025-07-23,710.4483112439354,355.48977789879774,1081.7804035960153,673.4
2025-07-24,879.4322999712891,496.61638904753505,1246.8766462981366,853.6
2025-07-25,867.6445812057467,495.2260056869545,1236.6053897618347,828.08
2025-07-26,844.5073962629145,481.51146615545315,1193.9017828900571,811.08
2025-07-27,820.8977089435231,457.2840188893505,1194.7069179783687,781.2
2025-07-28,1054.0947762695598,660.2157544057856,1416.076280046674,1044.39
2025-07-29,783.7430289710995,400.9418557035832,1167.3185461533756,761.99
2025-07-30,889.1302494589276,506.1403517126755,1262.1545693682729,875.96
2025-07-31,980.6732288248515,576.3356087635929,1349.1710260713578,975.24
2025-08-01,1212.6007077609754,817.5157638437829,1578.0872464852262,
2025-08-02,952.8850727772248,593.2764468807902,1329.9409650294501,
2025-08-03,1182.5716132452,787.7584765546261,1553.6713134250997,
2025-08-04,1032.052649271177,670.1000585944727,1383.273633435397,
2025-08-05,983.3526700349265,603.8810917874764,1361.7380591298063,
2025-08-06,772.2182723054476,365.91789488892846,1148.109135905839,
2025-08-07,1083.5820397970338,676.7796834596423,1471.563776519149,
2025-08-08,1645.1667681538215,1212.0745781650517,2045.50709974263,
2025-08-09,1677.66859107349,1237.3728499056833,2123.838641080044,
2025-08-10,1808.6673874163127,1350.3983938778624,2240.902784244024,
2025-08-11,1417.123055134988,981.6226941275305,1832.9146598231034,
