"customer_id","product_id","product_variant_sku","product_title","product_variant_id","products_bought_together_ids","products_bought_together_titles","order_id","order_day","orders","gross_sales","net_sales","total_sales"
"7562724180191","4343002431565",NULL,"Starter Set","32996777132109","[4343002431565]","['Starter Set']","5782189998303","2024-09-13",1,"23","18.4","18.4"
"7563331207391","4343002431565","WipStarterBlu","Starter Set","32996777099341","[4343002431565]","['Starter Set']","5782661660895","2024-09-14",1,"23","18.4","18.4"
"7564097552607","4343002431565",NULL,"Starter Set","32996777132109","[4343002431565,4911690219597,8667880849631]","['Starter Set','Pocket Trio','Pocket Kit']","5783421452511","2024-09-14",1,"46","36.8","36.8"
"7564236259551","4343002431565","WipStarterBlu","Starter Set","32996777099341","[4343002431565]","['Starter Set']","5783516512479","2024-09-14",1,"23","23","23"
"7563718623455","4343002431565",NULL,"Starter Set","32996777132109","[4343002431565,8667880849631,8727325376735]","['Starter Set','Pocket Kit','Feminine Wipe Gel - Starter Set']","5783081550047","2024-09-14",1,"23","18.4","18.4"
"7563805917407","4343002431565",NULL,"Starter Set","32996777132109","[4343002431565]","['Starter Set']","5783174643935","2024-09-14",1,"23","18.4","18.4"
"7563281563871","8727325376735",NULL,"Feminine Wipe Gel - Starter Set","46094405566687","[7728232333535,8667880849631,8727325376735]","['Happy Peaches Bundle','Pocket Kit','Feminine Wipe Gel - Starter Set']","5782598254815","2024-09-14",1,"23","23","23"
"7563845828831","4343002431565","WipStarterBlu","Starter Set","32996777099341","[4343002431565]","['Starter Set']","5783217995999","2024-09-14",1,"23","18.4","18.4"
"7563545968863","4343002431565",NULL,"Starter Set","32996777132109","[4343002431565]","['Starter Set']","5782878748895","2024-09-14",1,"23","18.4","18.4"
"7563169169631","4343002431565","WipStarterBlu","Starter Set","32996777099341","[4343002431565,8667880849631]","['Starter Set','Pocket Kit']","5782506766559","2024-09-14",1,"46","46","46"
"7564189040863","4343002431565",NULL,"Starter Set","32996777132109","[4343002431565]","['Starter Set']","5783479976159","2024-09-14",1,"23","23","23"
"7370805248223","7728232333535",NULL,"Happy Peaches Bundle","43070028480735","[7728232333535,8667880849631]","['Happy Peaches Bundle','Pocket Kit']","5782450569439","2024-09-14",1,"43","34.4","34.4"
"7563718623455","8727325376735",NULL,"Feminine Wipe Gel - Starter Set","46094405566687","[4343002431565,8667880849631,8727325376735]","['Starter Set','Pocket Kit','Feminine Wipe Gel - Starter Set']","5783081550047","2024-09-14",1,"23","18.4","18.4"
"7564107350239","8727325376735",NULL,"Feminine Wipe Gel - Starter Set","46094405566687","[7728232333535,8667880849631,8707059908831,8727325376735,8761174556895]","['Happy Peaches Bundle','Pocket Kit','Pocket Trio','Feminine Wipe Gel - Starter Set','Baby & Kids Wipe Gel - Starter Set']","5783428366559","2024-09-14",1,"23","18.4","18.4"
"7564243042527","4343002431565","WipStarterBlu","Starter Set","32996777099341","[4343002431565]","['Starter Set']","5783519363295","2024-09-14",1,"23","18.4","18.4"
"7563365122271","8727325376735",NULL,"Feminine Wipe Gel - Starter Set","46094405566687","[4343002431565,8667880849631,8727325376735]","['Starter Set','Pocket Kit','Feminine Wipe Gel - Starter Set']","5782696231135","2024-09-14",1,"23","18.4","18.4"
"7481145884895","6691828170829",NULL,"Family Bundle","39556046651469","[6691828170829,8667880849631]","['Family Bundle','Pocket Kit']","5783433969887","2024-09-14",1,"53","42.4","42.4"
"7563879153887","4343002431565","WipStarterBlu","Starter Set","32996777099341","[4343002431565,4911690219597,8667880849631]","['Starter Set','Pocket Trio','Pocket Kit']","5783247061215","2024-09-14",1,"23","23","23"
"7564056002783","7728232333535",NULL,"Happy Peaches Bundle","43070028480735","[7728232333535,8667880849631]","['Happy Peaches Bundle','Pocket Kit']","5783397204191","2024-09-14",1,"43","34.4","37.06"
